"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.799934533E0,-6.184828654E-2,1.943257898E-1,3.823140264E-1
1.804830835E0,-6.978929788E-2,2.212030590E-1,3.493282795E-1
1.809745314E0,-7.528692484E-2,2.511345744E-1,3.242835402E-1
1.814623491E0,-7.895200700E-2,2.731250823E-1,3.096232116E-1
1.819537970E0,-8.200624585E-2,2.780118585E-1,2.961845696E-1
1.824416095E0,-8.078455180E-2,2.786227167E-1,2.778591514E-1
1.829312397E0,-7.711946964E-2,2.792335451E-1,2.577011883E-1
1.834208751E0,-7.162184268E-2,2.828986347E-1,2.369323820E-1
1.839105054E0,-6.123743951E-2,2.938938737E-1,2.179961205E-1
1.844001356E0,-5.329642445E-2,3.109976053E-1,2.057791650E-1
1.848897710E0,-4.230117425E-2,3.305447102E-1,2.021140903E-1
1.853794012E0,-3.436015919E-2,3.580328524E-1,2.021140903E-1
1.858690314E0,-2.031067200E-2,3.824667335E-1,2.094442546E-1
1.863586668E0,-1.374406274E-3,3.781908154E-1,2.228828967E-1
1.868482970E0,1.511846948E-2,3.311555684E-1,2.308239043E-1
1.873379272E0,2.550287358E-2,2.633515298E-1,2.332672924E-1
1.878275626E0,3.344388679E-2,2.022667974E-1,2.289913595E-1
1.883171929E0,3.710897267E-2,1.582857966E-1,2.247154415E-1
1.888068231E0,3.710897267E-2,1.259108931E-1,2.192178071E-1
1.892964533E0,3.771981969E-2,1.100288630E-1,2.057791650E-1
1.897860887E0,3.710897267E-2,1.185807213E-1,1.874537468E-1
1.902757189E0,3.283303976E-2,1.460688561E-1,1.679066420E-1
1.907653491E0,1.695101149E-2,1.900498569E-1,1.514137685E-1
