"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.271132241E0,-6.117171049E-1,-1.748876572E-1,-7.231318951E-2
1.276028595E0,-4.865147471E-1,-3.357257843E-1,-2.436813116E-1
1.280924897E0,-3.383908272E-1,-5.238971710E-1,-4.418580532E-1
1.285821199E0,-3.196716905E-1,-6.318264008E-1,-5.843355656E-1
1.290735991E0,-3.872340918E-1,-6.454238892E-1,-6.913452148E-1
1.295613856E0,-4.195381999E-1,-5.506277084E-1,-7.713290453E-1
1.300510158E0,-2.313207388E-1,-4.003353119E-1,-7.913520336E-1
1.305406460E0,-1.388831735E-1,-2.162923813E-1,-8.231321573E-1
1.310320939E0,-1.499983668E-1,-2.740383148E-2,-8.589500189E-1
1.315199116E0,-4.304569960E-2,2.188396454E-1,-1.340501070E0
1.320113595E0,3.710735440E-1,2.196435928E-1,-2.980169296E0
1.324991772E0,5.547021031E-1,9.738636017E-2,-3.108528614E0
1.329888074E0,6.087408662E-1,1.672744751E-2,-2.728602648E0
1.334784376E0,5.950551033E-1,-4.668903351E-2,-2.362751961E0
1.339698856E0,3.172778487E-1,-5.270671844E-2,-1.742347836E0
1.344577033E0,1.376944780E-2,-1.234741211E-1,-1.000584483E0
1.349473335E0,4.444897175E-2,-1.921424866E-1,-1.441743374E-1
1.354369637E0,-2.185863256E-2,-1.635093689E-1,4.456495047E-1
1.359265991E0,-3.334661126E-1,-1.596879959E-1,6.533123255E-1
1.364162293E0,-5.966868997E-1,-1.496047974E-1,6.590098143E-1
1.369058595E0,-8.568669558E-1,-4.884281158E-1,2.787060738E-1
1.373954897E0,-2.461997867E-1,-7.092790604E-1,-3.426134586E-1
1.378851251E0,5.437252522E-1,4.403781891E-2,-1.218106270E0
1.383747554E0,-4.388064146E-2,8.017778397E-1,-1.907655120E0
1.388647189E0,-2.037591934E-1,1.065033913E0,-1.415137649E0
1.393540210E0,1.127628088E-1,1.000153542E0,-1.764528155E0
1.398436512E0,5.273359418E-1,9.614105225E-1,-2.008265972E0
1.403332814E0,7.364287376E-1,9.772109985E-1,-1.547433376E0
1.408229168E0,2.963987589E-1,1.273231506E0,4.246404171E-1
1.413125470E0,-1.041752100E0,1.742403984E0,5.173450947E0
1.418021772E0,-1.504752398E0,2.174197197E0,7.996469975E0
1.422918074E0,-1.011459708E0,2.687240601E0,4.682582855E0
1.427814429E0,-1.748268604E-1,2.011552811E0,-1.070400476E0
1.432710731E0,6.075108051E-1,9.153261185E-1,-3.325403214E0
1.437607033E0,1.261898279E0,2.707109451E-1,-3.783474445E0
1.442503387E0,1.506462097E0,-2.054576874E-1,-3.958603382E0
1.447399689E0,1.264467597E0,-4.185037613E-1,-3.698801041E0
1.452295991E0,1.064762115E0,-3.648605347E-1,-2.968640327E0
1.457192293E0,7.176327109E-1,-3.487253189E-1,-2.102394342E0
1.462088647E0,2.597009242E-1,-3.702640533E-1,-1.146883607E0
1.466984949E0,4.271560907E-2,-3.603963852E-1,-1.489546299E-1
1.471881251E0,-1.164168119E-2,-2.717294693E-1,5.489236116E-1
1.476777606E0,-2.295736969E-1,-1.095914841E-1,9.280557632E-1
1.481673908E0,-4.229503274E-1,1.808834076E-2,1.330257058E0
1.486570210E0,-5.039299726E-1,1.470441818E-1,1.477453589E0
1.491466512E0,-4.822971225E-1,1.723184586E-1,1.172464132E0
1.496362866E0,-3.960275054E-1,1.611709595E-1,8.625229597E-1
1.501259168E0,-2.782406807E-1,1.019287109E-1,6.948950291E-1
1.506155470E0,-1.068613529E-1,-1.219587326E-1,4.604500532E-1
1.511051824E0,-4.139985144E-2,-3.117399216E-1,4.161486626E-1
1.515948126E0,-3.113521636E-2,-2.669954300E-1,3.577427864E-1
1.520862866E0,1.849915832E-1,-4.799270630E-1,2.727909088E-1
1.525740783E0,1.099890918E-1,-5.321140289E-1,5.168048143E-1
1.530637085E0,-1.119661629E-1,-3.094911575E-1,1.670358181E-1
1.535533387E0,4.899875522E-1,-7.196006775E-1,-5.982648134E-1
1.540429689E0,3.549521267E-1,-6.127614975E-1,-3.788019419E-1
1.545326043E0,1.983834207E-1,-4.155006409E-1,-4.993413687E-1
1.550222345E0,9.387211502E-2,-3.071804047E-1,-2.804726362E-1
1.555118647E0,-1.361156255E-1,-3.091516495E-1,4.949622154E-1
1.560033179E0,3.594315425E-2,-2.755641937E-1,1.095432043E0
1.564911304E0,-7.650317252E-2,-1.316070557E-2,8.312654495E-1
1.569807606E0,-3.562562466E-1,1.290302277E-1,2.176369429E-1
1.574703908E0,-5.502551794E-1,3.422956467E-1,2.269600630E-1
1.579618439E0,-4.580389857E-1,4.165134430E-1,-1.456834078E-1
1.584496564E0,-2.035595477E-1,2.258081436E-1,-3.487964869E-1
1.589411043E0,-1.092172414E-1,3.118515015E-2,-3.331519365E-1
1.594289220E0,-4.007145762E-2,-8.378028870E-2,-3.146272898E-1
1.599185522E0,7.348138094E-2,-1.599187851E-1,-1.907156706E-1
1.604081824E0,1.182392240E-2,-2.689371109E-1,-1.360476017E-1
1.608978126E0,-7.178385556E-2,-3.105449677E-1,-1.263235807E-1
1.613874481E0,-8.202671260E-2,-2.897768021E-1,-1.348202229E-1
1.618770783E0,-1.555118412E-1,-1.758718491E-1,-1.490768194E-1
1.623667085E0,-2.999265790E-1,-1.171216965E-1,-3.453567028E-1
1.628563439E0,-4.152474403E-1,-9.195327759E-2,-3.597247601E-1
1.633459741E0,-3.799702525E-1,-1.075258255E-1,-9.891152382E-2
1.638356043E0,-3.858400583E-1,-8.978366852E-2,6.434118748E-2
1.643252397E0,-5.214085579E-1,-5.420684814E-3,1.423184872E-1
1.648148699E0,-5.166961551E-1,8.090305328E-2,1.545021534E-1
1.653045001E0,-4.507825971E-1,6.895828247E-2,9.385156631E-2
1.657941304E0,-3.715763390E-1,1.872348785E-2,7.273721695E-2
1.662837658E0,-4.054397345E-1,-2.875328064E-3,1.603674889E-1
1.667733960E0,-4.564055800E-1,-1.498317719E-2,1.628214121E-1
1.672630262E0,-3.761213720E-1,3.734874725E-2,2.243578434E-2
1.677526564E0,-2.196630538E-1,3.228855133E-2,-1.249243021E-1
1.682422918E0,-1.471183747E-1,-4.665088654E-2,-2.652535439E-1
1.687319220E0,-1.224352866E-1,-2.740764618E-2,-3.221348524E-1
1.692215522E0,-8.811414242E-2,6.582832336E-2,-3.123749495E-1
